datetime,AHU,CHW_VALVE,CHW_VALVE_POSIT,DIS_AIR_TEMP,DUCT_PRESS_ACTV,MAX_CO2_VAL,MIXED_AIR_TEMP,RTRN_AIR_TEMP,SUPPL_FAN_SP
19FEB15:18:18:00,AHU_5_1,28.2,33.44,60.6409,0.839,660.8856,72.342,72.7921,19.365
19FEB15:18:33:00,AHU_5_1,43.42,30.3139,62.369,0.831,664.5477,71.694,72.6121,19.365
19FEB15:18:48:00,AHU_5_1,0,2.0057,64.2052,0,709.7136,68.2196,72.252,0
19FEB15:19:03:00,AHU_5_1,0,2.0057,64.6553,0,695.0652,67.4815,72.432,0
19FEB15:19:18:00,AHU_5_1,0,2.0057,65.6634,0,682.8582,67.0315,72.432,0
19FEB15:19:33:00,AHU_5_1,0,2.0491,66.4734,0,688.3513,67.0315,72.432,0
19FEB15:19:48:00,AHU_5_1,0,2.0057,67.3015,0,676.7548,66.8515,72.432,0
19FEB15:20:03:00,AHU_5_1,0,2.0057,67.8596,0,674.9237,66.9415,72.342,0
19FEB15:20:18:00,AHU_5_1,0,2.0057,68.4896,0,661.496,67.0315,72.342,0
19FEB15:20:33:00,AHU_5_1,0,1.9623,68.9577,0,671.2616,67.1215,72.342,0
19FEB15:20:48:00,AHU_5_1,0,2.0057,69.4077,0,669.4305,67.3015,72.342,0
19FEB15:21:03:00,AHU_5_1,0,1.9623,69.8578,0,670.0409,67.5716,72.342,0
19FEB15:21:18:00,AHU_5_1,0,2.0491,70.2358,0,665.1581,67.6616,72.342,0
19FEB15:21:33:00,AHU_5_1,0,2.0057,70.5959,0,646.2372,67.8596,72.342,0
19FEB15:21:48:00,AHU_5_1,0,2.0057,70.8659,0,641.3544,68.0396,72.342,0
19FEB15:22:03:00,AHU_5_1,0,2.0057,71.1539,0,636.4716,68.3996,72.342,0
19FEB15:22:18:00,AHU_5_1,0,2.0057,71.5139,0,637.0819,68.5797,72.342,0
19FEB15:22:33:00,AHU_5_1,0,1.9623,71.694,0,630.9786,68.7597,72.342,0
19FEB15:22:48:00,AHU_5_1,0,2.0057,71.874,0,616.9406,69.1377,72.342,0
19FEB15:23:03:00,AHU_5_1,0,1.9623,72.072,0,605.3439,69.3177,72.252,0
19FEB15:23:18:00,AHU_5_1,0,2.0491,72.252,0,625.4855,69.5878,72.252,0
19FEB15:23:33:00,AHU_5_1,0,2.0491,72.432,0,633.42,69.8578,72.162,0
19FEB15:23:48:00,AHU_5_1,9.82,62.3126,71.964,0.2971,611.4474,69.7678,71.604,0
20FEB15:00:03:00,AHU_5_1,23.67,39.6052,59.8308,0.7587,600.4611,74.2682,71.694,16.39
20FEB15:00:18:00,AHU_5_1,39.64,26.58,60.1008,0.7668,601.6818,74.8083,72.342,16.595
20FEB15:00:33:00,AHU_5_1,47.425,19.3293,61.559,0.7668,619.382,75.0963,72.6121,16.595
20FEB15:00:48:00,AHU_5_1,47.865,30.7047,64.8353,0.7668,590.6954,75.3663,73.0801,16.595
20FEB15:01:03:00,AHU_5_1,32.145,40.9078,65.4834,0.7748,558.3469,75.9244,73.7102,16.595
20FEB15:01:18:00,AHU_5_1,0,2.0057,63.2871,0,622.4337,68.7597,73.5302,0
20FEB15:01:33:00,AHU_5_1,0,1.9623,64.7453,0,592.5265,67.3015,73.2601,0
20FEB15:01:48:00,AHU_5_1,0,2.0057,65.8434,0,601.6818,66.7615,73.2601,0
20FEB15:02:03:00,AHU_5_1,0,2.0057,67.0315,0,620.6027,66.4734,73.1701,0
20FEB15:02:18:00,AHU_5_1,0,1.9188,67.8596,0,591.9161,66.3834,73.0801,0
20FEB15:02:33:00,AHU_5_1,0,1.9623,68.5797,0,583.9817,66.3834,72.8821,0
20FEB15:02:48:00,AHU_5_1,0,2.0057,69.2277,0,609.006,66.4734,72.7921,0
20FEB15:03:03:00,AHU_5_1,0,2.0057,69.6778,0,602.2921,66.6715,72.5221,0
20FEB15:03:18:00,AHU_5_1,0,2.0491,70.0558,0,646.8475,66.9415,72.432,0
20FEB15:03:33:00,AHU_5_1,0,1.9623,70.5058,0,628.5372,67.2115,72.342,0
20FEB15:03:48:00,AHU_5_1,33.165,21.8041,58.7327,0.6062,590.6954,73.6202,71.694,12.985
20FEB15:04:03:00,AHU_5_1,49.925,17.7228,60.1008,0.7547,579.0989,74.8083,72.252,16.595
20FEB15:04:18:00,AHU_5_1,54.565,18.5043,64.1152,0.7628,616.3302,75.2763,72.8821,16.595
20FEB15:04:33:00,AHU_5_1,42.45,40.4302,65.9334,0.7748,593.1368,75.7264,73.3501,16.595
20FEB15:04:48:00,AHU_5_1,29,52.1529,64.8353,0.7828,582.761,75.9244,73.6202,16.595
20FEB15:05:03:00,AHU_5_1,20.225,54.1501,62.7471,0.7788,611.4474,75.9244,73.5302,16.595
20FEB15:05:18:00,AHU_5_1,17.335,54.975,59.7408,0.7748,549.802,76.1044,73.7102,16.595
20FEB15:05:33:00,AHU_5_1,27.84,32.4848,59.3627,0.7989,542.4778,74.4482,73.0801,16.595
20FEB15:05:48:00,AHU_5_1,47.61,20.9357,61.829,0.8029,583.9817,74.1782,72.9721,16.595
20FEB15:06:03:00,AHU_5_1,45.81,28.664,64.9253,0.8109,556.5159,74.0882,72.9721,16.595
20FEB15:06:18:00,AHU_5_1,23.445,50.4596,64.4753,0.8109,548.5813,73.8002,72.9721,16.595
20FEB15:06:33:00,AHU_5_1,17.15,47.6375,59.6508,0.8189,559.5676,73.8902,73.2601,16.595
20FEB15:06:48:00,AHU_5_1,32.915,29.6192,59.6508,0.7628,588.8644,74.0882,73.7102,16.595
20FEB15:07:03:00,AHU_5_1,46.06,20.8923,62.099,0.8109,595.5783,74.0882,73.8902,16.595
20FEB15:07:18:00,AHU_5_1,45.345,32.094,64.7453,0.8029,515.6224,74.3582,73.9982,16.595
20FEB15:07:33:00,AHU_5_1,24.035,49.2873,63.0171,0.8069,546.7502,74.2682,74.0882,16.595
20FEB15:07:48:00,AHU_5_1,21.435,45.4232,60.1008,0.8189,536.9846,74.2682,73.8902,16.595
20FEB15:08:03:00,AHU_5_1,40.34,22.9763,59.9208,0.8149,547.971,74.5383,73.8902,16.595
20FEB15:08:18:00,AHU_5_1,49.675,27.5786,63.0171,0.8109,509.5189,74.2682,73.8002,16.595
20FEB15:08:33:00,AHU_5_1,34.445,39.9526,64.0072,0.8109,525.9983,74.1782,73.8002,16.595
20FEB15:08:48:00,AHU_5_1,20.665,48.7663,61.4689,0.8149,579.0989,74.2682,73.8002,16.595
20FEB15:09:03:00,AHU_5_1,28.975,34.0478,59.5608,0.8149,607.7853,74.1782,73.8902,16.595
20FEB15:09:18:00,AHU_5_1,47.6,22.5856,60.8209,0.7708,757.9314,74.1782,74.0882,16.595
20FEB15:09:33:00,AHU_5_1,44.615,34.5688,64.4753,0.7788,748.7761,74.4482,74.1782,16.595
20FEB15:09:48:00,AHU_5_1,32.465,46.8994,63.5572,0.7427,736.5691,74.3582,73.4402,18.315
20FEB15:10:03:00,AHU_5_1,28.16,47.898,61.3789,0.8109,818.3561,74.1782,73.2601,18.98
20FEB15:10:18:00,AHU_5_1,45.135,32.5282,61.1989,0.7547,942.2571,74.8083,73.3501,19.515
20FEB15:10:33:00,AHU_5_1,36.125,46.3349,62.9271,0.827,938.595,74.8083,73.2601,20.35
20FEB15:10:48:00,AHU_5_1,41.755,33.1795,60.5509,0.8069,975.2159,75.0063,73.3501,20.35
20FEB15:11:03:00,AHU_5_1,42.78,46.5954,63.5572,0.831,790.2799,75.0063,73.5302,20.35
20FEB15:11:18:00,AHU_5_1,42.715,33.1795,61.0909,0.827,779.9039,74.1782,73.5302,20.1
20FEB15:11:33:00,AHU_5_1,42.29,38.7369,63.8272,0.831,839.7183,74.2682,73.4402,20.1
20FEB15:11:48:00,AHU_5_1,34.045,37.9988,60.7309,0.831,801.2662,74.1782,73.4402,20.1
20FEB15:12:03:00,AHU_5_1,44.63,38.129,63.2871,0.839,840.3286,74.0882,73.5302,20.1
20FEB15:12:18:00,AHU_5_1,30.725,46.3784,62.189,0.847,861.0806,73.8002,73.3501,20.1
